t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.064000,0.254267,0.134569,0.000000,-0.986176,0.000000,0.000000,-0.165699,1.973146,-1.582433,0.000000,0.000000,0.000000,149.866726
0.064500,0.256240,0.132985,0.000000,-0.971013,0.000000,0.000000,-0.239028,1.972941,-1.586924,0.000000,0.000000,0.000000,149.865685
0.065000,0.258213,0.131396,0.000000,-0.950405,0.000000,0.000000,-0.311016,1.972735,-1.591413,0.000000,0.000000,0.000000,149.864644
0.065500,0.260185,0.129802,0.000000,-0.924468,0.000000,0.000000,-0.381260,1.972530,-1.595902,0.000000,0.000000,0.000000,149.863603
0.066000,0.262158,0.128204,0.000000,-0.893348,0.000000,0.000000,-0.449366,1.972324,-1.600389,0.000000,0.000000,0.000000,149.862563
0.066500,0.264130,0.126601,0.000000,-0.857219,0.000000,0.000000,-0.514952,1.972119,-1.604876,0.000000,0.000000,0.000000,149.861522
0.067000,0.266102,0.124994,0.000000,-0.816284,0.000000,0.000000,-0.577650,1.971914,-1.609361,0.000000,0.000000,0.000000,149.860481
0.067500,0.268074,0.123382,0.000000,-0.770774,0.000000,0.000000,-0.637109,1.971708,-1.613846,0.000000,0.000000,0.000000,149.859441
0.068000,0.270045,0.121766,0.000000,-0.720941,0.000000,0.000000,-0.692996,1.971503,-1.618329,0.000000,0.000000,0.000000,149.858400
0.068500,0.272017,0.120146,0.000000,-0.667068,0.000000,0.000000,-0.744997,1.971298,-1.622812,0.000000,0.000000,0.000000,149.857359
0.069000,0.273988,0.118521,0.000000,-0.609455,0.000000,0.000000,-0.792821,1.971093,-1.627293,0.000000,0.000000,0.000000,149.856319
0.069500,0.275959,0.116891,0.000000,-0.548425,0.000000,0.000000,-0.836200,1.970887,-1.631774,0.000000,0.000000,0.000000,149.855278
0.070000,0.277930,0.115257,0.000000,-0.484321,0.000000,0.000000,-0.874890,1.970682,-1.636253,0.000000,0.000000,0.000000,149.854237
0.070500,0.279900,0.113619,0.000000,-0.417503,0.000000,0.000000,-0.908676,1.970477,-1.640732,0.000000,0.000000,0.000000,149.853197
0.071000,0.281871,0.111976,0.000000,-0.348344,0.000000,0.000000,-0.937367,1.970272,-1.645209,0.000000,0.000000,0.000000,149.852156
0.071500,0.283841,0.110328,0.000000,-0.277233,0.000000,0.000000,-0.960803,1.970067,-1.649685,0.000000,0.000000,0.000000,149.851115
0.072000,0.285811,0.108676,0.000000,-0.204569,0.000000,0.000000,-0.978852,1.969862,-1.654161,0.000000,0.000000,0.000000,149.850075
0.072500,0.287781,0.107020,0.000000,-0.130758,0.000000,0.000000,-0.991414,1.969657,-1.658635,0.000000,0.000000,0.000000,149.849034
