t,θ1,ω1,θ2,ω2
4.8000,0.312364,1.206876,-0.232832,2.988520
4.8100,0.323908,1.101470,-0.202353,3.107148
4.8200,0.334387,0.994166,-0.170695,3.224114
4.8300,0.343786,0.885328,-0.137876,3.339238
4.8400,0.352090,0.775413,-0.103917,3.452246
4.8500,0.359293,0.664991,-0.068840,3.562741
4.8600,0.365391,0.554760,-0.032672,3.670173
4.8700,0.370391,0.445569,0.004551,3.773809
4.8800,0.374309,0.338429,0.042788,3.872705
4.8900,0.377171,0.234521,0.081985,3.965688
4.9000,0.379015,0.135189,0.122077,4.051356
4.9100,0.379894,0.041911,0.162983,4.128106
4.9200,0.379878,-0.043752,0.204604,4.194193
4.9300,0.379050,-0.120244,0.246825,4.247831
4.9400,0.377509,-0.186121,0.289513,4.287336
4.9500,0.375367,-0.240180,0.332520,4.311285
4.9600,0.372747,-0.281584,0.375684,4.318675
4.9700,0.369779,-0.309953,0.418837,4.309059
4.9800,0.366592,-0.325423,0.461809,4.282605
4.9900,0.363311,-0.328627,0.504435,4.240093
5.0000,0.360056,-0.320632,0.546561,4.182827
5.0100,0.356932,-0.302822,0.588048,4.112494
5.0200,0.354027,-0.276774,0.628774,4.031002
5.0300,0.351418,-0.244128,0.668637,3.940317
5.0400,0.349161,-0.206483,0.707556,3.842338
5.0500,0.347300,-0.165319,0.745466,3.738796
5.0600,0.345862,-0.121951,0.782319,3.631211
5.0700,0.344865,-0.077510,0.818081,3.520860
5.0800,0.344313,-0.032941,0.852730,3.408792
5.0900,0.344204,0.010986,0.886254,3.295837
5.1000,0.344528,0.053657,0.918646,3.182640
5.1100,0.345271,0.094595,0.949907,3.069688
5.1200,0.346413,0.133436,0.980042,2.957337
